ChoiceID	ChoiceGroupID	Order	Text	ConditionGroupID	NextType	NextID	EvidenceID	TrustCharacterID	TrustValue	ResonanceValue	StateType	StateValue	SceneID
Ch1CourtPursue		1	판결문에서 푸른 천과 이판규의 시선을 따로 기록한다.		Scene	ch1_newsroom							ch1_court
Ch1CourtComply		2	판결문을 먼저 편집국에 넘겨 신문감으로 정리한다.		Scene	ch1_newsroom							ch1_court
Ch1NewsroomObedient		1	세간의 입에 오를 만한 글로 꾸며 보지요.		Scene	ch1_newsroom_obedient							ch1_newsroom
Ch1NewsroomDefiant		2	신문감은 되겠지만, 이대로 덮을 마음은 없습니다.		Scene	ch1_newsroom_defiant							ch1_newsroom
Ch1NewsroomReadRecord	ChoiceGroup_NewsroomInvestigation	1	판결문 가장자리의 지워진 증언 흔적을 대조한다.		Dialog	newsroom_record							ch1_newsroom_investigation
Ch1NewsroomWriteName	ChoiceGroup_NewsroomInvestigation	2	사건 파일에서 누락된 피해 기록을 수첩 첫 장에 적는다.		Dialog	newsroom_name							ch1_newsroom_investigation
Ch1NewsroomMarkCensor	ChoiceGroup_NewsroomInvestigation	3	편집장이 피하라던 단어와 삭제 지시를 표시한다.		Dialog	newsroom_censor							ch1_newsroom_investigation
Ch2CafeAskManager	ChoiceGroup_CafeInvestigation	1	점장을 몰아세워 낙원 안쪽 규칙을 흔든다		Dialog	inv_mgr							ch2_cafe
Ch2CafeAskWaitress	ChoiceGroup_CafeInvestigation	2	여급들의 빚과 눈치를 읽어 낸다		Dialog	inv_wtrs							ch2_cafe
Ch2CafeAskObserver	ChoiceGroup_CafeInvestigation	3	구석 손님의 침묵을 정면으로 살핀다		Dialog	inv_obs							ch2_cafe
Ch2CafePresentNote	ChoiceGroup_CafeManagerEvidence	101	붉은 쪽지를 점장 앞에 펼쳐 놓는다.		Dialog	cafe_manager_reveal	EvNote						ch2_cafe
Ch2CafePresentBlueCloth	ChoiceGroup_CafeWaitressEvidence	102	푸른 흔적을 여급에게 보여 준다.		Dialog	cafe_waitress_reveal	EvBlueCloth						ch2_cafe
Ch2Factory_LookCloser		1	시신의 찢겨진 흉곽 안쪽을 홀린 듯 쳐다본다.		Scene	ch2_factory_shock							ch2_factory
Ch2FactoryShockDocument		1	시신과 쪽지를 분리해 기록하고 낙원으로 향한다.		Scene	ch2_cafe							ch2_factory_shock
Ch2FactoryShockFollowSong		2	환청의 방향을 따라 서둘러 낙원으로 향한다.		Scene	ch2_cafe							ch2_factory_shock
Ch2HospitalAskRoot		1	그 망상의 근원부터 기어이 묻고 늘어진다.		Scene	ch2_hospital_a							ch2_hospital
