"CharacterID"	"EmotionType"	"ImagePath"
"Cheonyonghae"	"Neutral"	"assets/portraits/cheonyonghae.png"
"Editor"	"Angry"	"assets/portraits/editor.png"
"Editor"	"Neutral"	"assets/portraits/editor.png"
"Elder"	"Neutral"	"assets/portraits/elder_slum.png"
"Haesim"	"Crazy"	"assets/portraits/haesim.png"
"Haesim"	"Neutral"	"assets/portraits/haesim.png"
"Haesim"	"Trance"	"assets/portraits/haesim.png"
"Ipangyu"	"Corpse"	"assets/portraits/ipangyu_corpse.png"
"Ipangyu"	"Crazy"	"assets/portraits/ipangyu.png"
"Ipangyu"	"Neutral"	"assets/portraits/ipangyu.png"
"Ipangyu"	"Trance"	"assets/portraits/ipangyu.png"
"Judge"	"Neutral"	"assets/portraits/judge.png"
"Lawyer"	"Neutral"	"assets/portraits/lawyer.png"
"Manager"	"Neutral"	"assets/portraits/manager.png"
"Okryeon"	"Afraid"	"assets/portraits/kum_fixed.png"
"Okryeon"	"Neutral"	"assets/portraits/kum_fixed.png"
"Okryeon"	"Shaken"	"assets/portraits/kum_fixed.png"
"Policeman"	"Neutral"	"assets/portraits/policeman.png"
"Prosecutor"	"Neutral"	"assets/portraits/prosecutor.png"
"Songgeum"	"Neutral"	"assets/portraits/songgeum.png"
"Songgeum"	"Trance"	"assets/portraits/songgeum.png"
"Songsoon"	"Afraid"	"assets/portraits/songsoon.png"
"Songsoon"	"Neutral"	"assets/portraits/songsoon.png"
"Songsoon"	"Shaken"	"assets/portraits/songsoon.png"
"Songsoon"	"Uneasy"	"assets/portraits/songsoon.png"
"Waitress"	"Neutral"	"assets/portraits/waitress_generic.png"
"Yuu"	"Neutral"	"assets/portraits/yuu.png"
"Yuu"	"Shaken"	"assets/portraits/yuu.png"
"Yuu"	"Tense"	"assets/portraits/yuu.png"
"Yuu"	"Trance"	"assets/portraits/yuu.png"
