SceneID,Chapter,Title,Background,Music,Effect,GoalKicker,GoalText,EvidencePromptTitle,EvidencePromptHint
ch1_court,1,묻힌 판결,assets/bg/court.jpeg,assets/sfx/ambient.mp3,,,,,
ch1_newsroom,1,난향일보 편집국,assets/bg/newsroom.jpeg,assets/sfx/newsroom.mp3,,,,,
ch2_cafe,2,카페 낙원,assets/bg/cafe.jpeg,assets/sfx/jazz.mp3,,,,,
ch2_factory,2,경성 외곽 폐공장,assets/bg/factory.jpeg,assets/sfx/creepy.mp3,,,,,
ch2_hospital,2,정신병원 접견실,assets/bg/hospital.jpeg,assets/sfx/tense.mp3,,,,,
ch2_hospital_a,2,정신병원 — 감응 질문,assets/bg/hospital.jpeg,assets/sfx/tense.mp3,1,,,,
ch2_hospital_b,2,정신병원 — 문 질문,assets/bg/hospital.jpeg,assets/sfx/tense.mp3,1,,,,
ch2_hospital_end,2,정신병원 — 탈주,assets/bg/hospital.jpeg,assets/sfx/tense.mp3,3,,,,
ch3_room4,3,기숙사 4번 방,,assets/sfx/sad.mp3,,,,,
ch3_warehouse,3,낙원 무대 뒤 창고,assets/bg/warehouse.jpg,assets/sfx/tense.mp3,,,,,
ch4a_library,4,난향일보 자료실,,assets/sfx/mystery.mp3,,,,,
ch4a_slum,4,경성 외곽 빈민가,,assets/sfx/gloomy.mp3,,,,,
ch4b_cafe,4,여급의 루트,assets/bg/cafe.jpeg,assets/sfx/jazz_dark.mp3,,,,,
ch5_ritual_path,5,지하 진입로,,assets/sfx/creepy_2.mp3,1,,,,
ch5_ritual_room,5,지하 의례실,assets/bg/ritual_room.jpg,assets/sfx/ritual.mp3,2,,,,
ch6_ending_a,6,엔딩 A — 돌아오지 않은 언니,,assets/sfx/ending.mp3,,,,,
ch6_ending_b,6,엔딩 B — 기록된 것들,,assets/sfx/ending.mp3,,,,,
ch6_ending_c,6,엔딩 C — 문 너머,,assets/sfx/ending.mp3,2,,,,
ch6_epilogue,6,에필로그,,assets/sfx/ending.mp3,,,,,
ch6_ritual_scene,6,의식 현장,,assets/sfx/ritual_climax.mp3,4,,,,
