DialogID,SceneID,Order,CharacterID,EmotionType,StandingSlot,FocusType,EnterMotion,ExitMotion,IdleMotion,FxType,Text,Style,ConditionGroupID,ChoiceGroupID,NextDialogID,Speaker,Portrait,Label
,ch1_court,1,,,,,,,,,"1932년 12월. 조선인 아동 두 명이 사라진 사건. 범인은 잡혔지만… 진실은 끝내, 묻혔다.",narration,,,,,,
,ch1_court,2,,,,,,,,,"경성지방법원 제5호 법정. 피고 이판규, 아동 실종 및 살해 혐의 심리를 개시한다.",normal,,,,,,
,ch1_court,3,,,,,,,,,"피고 이판규는 한 달 간격으로 아홉 살, 열한 살 조선인 남자아이 두 명을 살해한 혐의입니다. 피해 아동의 입 안에서 파란 천 조각이 깊숙이 말려든 채 발견되었습니다.",normal,,,,,,
,ch1_court,4,,,,,,,,,피해자 신원은 확인되었나?,normal,,,,,,
,ch1_court,5,,,,,,,,,아니오. 빈민가 출신 조선인 유아로 추정됩니다.,normal,,,,,,
,ch1_court,6,,,,,,,,,유아라… 어린아이는 완전한 인격체로 보기 어렵지.,normal,,,,,,
,ch1_court,7,,,,,,,,,"피고인은 오래전부터 정신 질환을 앓아왔으며, 사건 당시 피해망상 증상이 관찰됐습니다. 또한 사체가 발견되지 않았고, 사고 실종 가능성도 배제할 수 없습니다.",normal,,,,,,
,ch1_court,8,,,,,,,,,증거 불충분 및 정신질환 의심을 이유로— 피고 이판규에게 무죄를 선고한다.,normal,,,,,,
,ch1_court,9,,,,,,,,,역시. 증거 없으면 죄도 없지. 아이 둘 죽은 거치고도… 팔릴 기사는 되겠군.,thought,,,,,,
,ch1_newsroom,1,,,,,,,,,"유 기자! 이판규, 알아? 그 미친놈 말야. 풀려났다고 신문사들 죄다 물었어.",normal,,,,,,
,ch1_newsroom,2,,,,,,,,,실종된 애들 둘. 잊혀진 지 오래잖습니까.,normal,,,,,,
,ch1_newsroom,3,,,,,,,,,"그냥 실종이 아니지. 입에 파란 천 쑤셔 넣고 바쳤다는 놈이야. 근데 무죄야, 정신병자란 이유로. 이런 게 기사야, 유 기자.",normal,,,,,,
,ch1_newsroom,4,,,,,,,,,"그래서 뭐 어쩌라고요. 조선인 두 명 사라진 미제 사건, 지금 와서 팔리겠습니까?",normal,,,,,,
,ch1_newsroom,5,,,,,,,,,조선인이 죽은 것만으론 팔리지 않아. 뭔가… 기묘한 걸 써와. 미스터리하게.,normal,,,,,,
,ch1_newsroom,6,,,,,,,,,"(건네받은 클리핑을 본다) ""그는 신에게 바쳤을 뿐""… 기묘한 기사, 한 번 써보죠.",thought,,,,,,
,ch2_cafe,1,,,,,,,,,"1932년 토요일 밤. 경성 종로, 카페 '낙원'. 붉고 푸른 혼합 조도. 담배 연기. 재즈풍 반주.",narration,,,,,,
,ch2_cafe,2,,,,,,,,,"토요일, 낙원… 그녀가 노래하면, 문이 열린다… 일단 확인해보자.",thought,,,,,,
,ch2_cafe,3,,,,,,,,,어서 오십시오. 커피로 하시겠습니까?,normal,,,,,,
,ch2_cafe,4,,,,,,,,,커피로 할게요. (메뉴판을 덮으며) 여기 노래 잘하는 분이 계셨다고 들었는데요.,normal,,,,,,
,ch2_cafe,5,,,,,,,,,아… 그런 분이 있었죠. 요즘은 공연 안 합니다. 분위기가 좀… 달라졌거든요.,normal,,,,,,
,ch2_cafe,6,,,,,,,,,그냥… 그런 거 요즘은 안 해요. 이야기 꺼내지 않는 게 나아요.,normal,,,,,,
