ConditionID	ConditionGroupID	ConditionType	ConditionTargetID	CompareType	ConditionValue
Cond_Backroom_EditorRel0_01	CG_Backroom_EditorRel0	Trust	Editor	Equal	0
Cond_Backroom_EditorRel1_01	CG_Backroom_EditorRel1	Trust	Editor	GreaterEqual	1
Cond_Backroom_FoundOldArticles_01	CG_Backroom_FoundOldArticles	ChoiceSelected	Ch4ALibraryTakeArticles|Ch4ALibraryExposeArchive	Equal	true
Cond_Branch_CalledEditorFalse_01	CG_Branch_CalledEditorFalse	ChoiceSelected	Ch5PathNoContact	Equal	true
Cond_Branch_EndingAScore2_01	CG_Branch_EndingAScore2	ChoiceSelected	Ch4BCafeHold	Equal	true
Cond_Branch_ExposedArchive_01	CG_Branch_ExposedArchivePattern	ChoiceSelected	Ch4ALibraryExposeArchive	Equal	true
Cond_Branch_ExposedTruth_01	CG_Branch_ExposedTruthAtRitual	ChoiceSelected	Ch6FinalExpose	Equal	true
Cond_Branch_FinalChoice_A	CG_Branch_FinalChoice_A	ChoiceSelected	Ch6FinalAnswer	Equal	true
Cond_Branch_FinalChoice_B	CG_Branch_FinalChoice_B	ChoiceSelected	Ch6FinalBlock|Ch6FinalExpose	Equal	true
Cond_Branch_FinalChoice_C	CG_Branch_FinalChoice_C	ChoiceSelected	Ch6FinalHesitate	Equal	true
Cond_Branch_FoundOldArticles_01	CG_Branch_FoundOldArticles	ChoiceSelected	Ch4ALibraryTakeArticles|Ch4ALibraryExposeArchive	Equal	true
Cond_Branch_Investigation3_01	CG_Branch_Investigation3	GaugeValue	Credibility	GreaterEqual	3
Cond_Branch_MatchedPattern_01	CG_Branch_MatchedPattern	ChoiceSelected	Ch5RitualPresentMask	Equal	true
Cond_Branch_OkryunPushed_01	CG_Branch_OkryunPushed	ChoiceSelected	Ch4BCafePress	Equal	true
Cond_Branch_ReadRitual_01	CG_Branch_ReadRitual	GaugeValue	ReadRitualScore	GreaterEqual	1
Cond_Branch_SolvedMid_01	CG_Branch_SolvedMid	GaugeValue	SolvedQuestionCount	Equal	[2, 3]
Cond_Branch_SongsoonTrust1_01	CG_Branch_SongsoonTrust1	Trust	Songsoon	GreaterEqual	1
Cond_Branch_SongsoonTrust2_01	CG_Branch_SongsoonTrust2	Trust	Songsoon	GreaterEqual	2
Cond_Branch_TouchedRoomWall_01	CG_Branch_TouchedRoomWall	ChoiceSelected	Ch3Room4TouchWall	Equal	true
Cond_Cafe_Info2_01	CG_Cafe_Info2	ChoiceSelected	Ch2HospitalAskDoor	Equal	true
Cond_Credibility_Zero_01	CG_Credibility_Zero	GaugeValue	Credibility	LessEqual	0
Cond_Descent_CalledEditorTrue_01	CG_Descent_CalledEditorTrue	ChoiceSelected	Ch5PathContactEditor	Equal	true
Cond_Descent_SongsoonTrust1_01	CG_Descent_SongsoonTrust1	Trust	Songsoon	GreaterEqual	1
Cond_EndingB_ErodedRecord_01	CG_EndingB_ErodedRecord	GaugeValue	Erosion	GreaterEqual	6
Cond_EndingB_ErodedRecord_02	CG_EndingB_ErodedRecord	GaugeValue	Credibility	GreaterEqual	7
Cond_Epilogue_EndingA_01	CG_Epilogue_EndingA	Trust	Songsoon	GreaterEqual	1
Cond_Epilogue_EndingA_02	CG_Epilogue_EndingA	ChoiceSelected	article_q1_correct	Equal	true
Cond_Epilogue_EndingA_03	CG_Epilogue_EndingA	ChoiceSelected	Ch5IpangyuDealAccept	Equal	true
