"EvidenceID"	"Name"	"Description"	"Image"	"CategoryID"	"SceneId"	"Trigger"
"EvBlueCloth"	"푸른 흔적"	"이판규의 등뼈가 U자로 완전히 꺾어 부러진 채, 비정상적으로 치솟은 목이 하늘을 노려보며 굳어있다. 파여나간 두 눈구멍 안쪽엔 축축한 푸른 촉수 같은 점액질이 엉겨 말라붙었고, 찢겨진 흉곽 안쪽에서는 벌레들이 갉아먹은 푸른 천 쪼가리가 기괴하게 튀어나와 썩은 내를 풍기고 있다. 명백히 무언가가 그의 안쪽에서부터 터져 나온 흔적이다."	"assets/ev/bluecloth.jpeg"	"trace"	"ch2_factory"	"1"
"EvNote"	"붉은 쪽지"	"이판규의 손에서 발견된 쪽지. '토요일, 낙원. 그녀가 노래하면 문은 열린다.'"	"assets/items/note.png"	"record"	"ch2_factory"	"1"
"EvIpangyuMemo"	"접견 메모"	"이판규가 접견 탁자 틈새에 밀어 넣은 작은 종이 조각. '문은 반드시 열린다. 노래가 준비되면.' 떨리는 손으로 쓰인 글자가 번져 있다."	"assets/items/note.png"	"record"	"ch2_hospital"	"2"
"EvBlueHanbok"	"청색 비단 한복"	"송금의 방에서 발견된 의례용 한복. 소매 안쪽에 바느질 자국과 작은 상처 자국들."	"assets/ev/hanbok.jpeg"	"ritual"	"ch3_room4"	""
"EvDiary"	"숨겨진 일기장"	"송금의 일기장. '청의의 무녀', '노래가 곧 감응', '문 앞에서 노래를 부를 것'."	"assets/ev/diary.jpeg"	"record"	"ch3_room4"	"2"
"EvMask"	"네 눈 가면"	"눈 구멍이 네 개 달린 기괴한 가면. 청의동자의 눈 네 개를 상징한다."	"assets/ev/mask.jpeg"	"ritual"	"ch3_room4"	""
"EvRitualScore"	"감응 악보"	"주문이 음표 사이에 숨겨진 기묘한 악보. 유웅룡에게만 이명과 고통을 유발한다."	"assets/ev/score.jpeg"	"ritual"	"ch3_warehouse"	"2"
"EvOldArticles"	"1924년 기사 뭉치"	"과거에 발생한 유사 사건의 기록. 편집장이 직접 작성했다. 일부 문장이 삭제되어 있다."	"assets/ev/note.jpeg"	"record"	"ch4a_library"	"1"
"EvSlumWitness"	"얼굴 가린 사내의 목격담"	"노인이 전한 흰 천으로 얼굴을 가린 사내, 천용해에 대한 소문. 낙원 의식을 주도한 손이 하나 더 있었다는 증거다."	"assets/ev/note.jpeg"	"trace"	"ch4a_slum"	"Ch4aSlumAskMasked"
"EvBasementRoute"	"세탁 수레의 지하 출입 흔적"	"푸른 염료가 묻은 세탁 자루와 바퀴 자국. 결근 처리된 여급들이 무대 뒤 가림막 아래 지하 출입구로 옮겨졌음을 보여 준다."	"assets/ev/note.jpeg"	"record"	"ch4b_backroom"	"1"
"EvParticipantLedger"	"염료 묻은 참여자 명부"	"의식에 편입된 사람과 배역·순번이 적힌 명부. 송금은 자원자가 아니라 강제로 배정된 편입자로 기록되어 있다."	"assets/ev/note.jpeg"	"ritual"	"ch5_participant_ledger"	"Ch5ParticipantLedgerRead"
"EvRitualNote"	"의례실 종이"	"'그릇은 셋. 둘은 쓰였고 하나가 남았다.' 마지막 무녀가 아직 남아 있다는 증거."	""	"ritual"	"ch5_ritual_room"	"1"
