AnswerID,QuestionID,SortOrder,AnswerText,RequiredEvidenceIDs,IsCorrect,EffectGroupID,ResultText,NextType,NextID
QArchivePattern_Correct,QArchivePattern,10,과거 기사와 빈민가 목격담은 같은 방식의 실종이 기록에서 반복해 지워졌음을 보여 준다.,"EvOldArticles, EvSlumWitness",true,,신문의 삭제와 목격자의 공포가 같은 빈자리를 가리킨다. 실종은 개인의 불운이 아니라 반복된 구조였다.,Resume,
QArchivePattern_Erosion,QArchivePattern,20,"목격자가 떨었으니, 사라진 사람들은 아직 빈민가 골목에서 이름을 부른다.",EvSlumWitness,false,eff_question_erosion,두려운 증언을 유령의 증거로 바꿨다. 반복을 만든 기록의 손길은 다시 어둠 속으로 숨는다.,Resume,
QArchivePattern_Credibility,QArchivePattern,30,낡은 기사 몇 장만으로 모든 현재 실종이 같은 범인의 짓이라고 쓴다.,,false,eff_question_credibility,기사만으로는 현재의 실종을 단정할 수 없다. 시간의 간격과 증언의 빈칸을 무시한 기사거리가 된다.,Resume,
QCallPattern_Correct,QCallPattern,10,쪽지의 지시와 푸른 천의 표식은 사람을 낙원으로 몰아넣은 같은 호출의 흔적이다.,"EvNote, EvBlueCloth",true,,글로 남은 지시와 몸에 남는 표식이 겹친다. 호출은 우연한 폐기물이 아니라 사람을 움직이는 명령이었다.,Resume,
QCallPattern_Erosion,QCallPattern,20,붉은 쪽지는 읽는 사람마다 제 발로 낙원으로 끌려가게 만든다.,EvNote,false,eff_question_erosion,명령의 흔적을 곧장 저주의 힘으로 바꿨다. 누가 사람을 몰았는지 묻는 질문이 사라진다.,Resume,
QCallPattern_Credibility,QCallPattern,30,푸른 천 하나만으로 공장과 낙원이 같은 명령을 썼다고 발표한다.,,false,eff_question_credibility,표식 하나는 의심의 출발점일 뿐 연결의 증거는 아니다. 서로 다른 장소를 너무 빨리 한 사건으로 묶었다.,Resume,
QIpangyuCall_Correct,QIpangyuCall,10,붉은 쪽지는 낙원 쪽에서 이판규를 직접 불러낸 호출이다.,EvNote,true,,쪽지의 지시가 이판규의 행선지와 맞물린다. 그는 우연히 달아난 것이 아니라 낙원 쪽 호출에 떠밀렸다.,Resume,
QIpangyuCall_Erosion,QIpangyuCall,20,이판규를 부른 것은 쪽지가 아니라 공장 안에 남은 의식 그 자체다.,EvRitualNote,false,eff_question_erosion,의식의 기척을 너무 쉽게 의지로 읽었다. 기록보다 공포가 먼저 결론을 밀어 넣는다.,Resume,
QIpangyuCall_Credibility,QIpangyuCall,30,푸른 천은 이판규가 공장 인부에게 불려갔다는 명찰이다.,,false,eff_question_credibility,푸른 천만으로는 누가 누구를 불렀는지 증명할 수 없다. 추측이 기록의 빈칸을 대신했다.,Resume,
QIpangyuMadness_Correct,QIpangyuMadness,10,"붉은 쪽지가 남아 있으므로, 이판규의 호출 이야기는 실제 흔적과 맞닿아 있다.",EvNote,true,,발작처럼 흘린 말과 쪽지의 호출이 맞물린다. 그의 말은 죄를 피하려 지어낸 헛소리만은 아니다.,Resume,
QIpangyuMadness_Erosion,QIpangyuMadness,20,이판규는 공장에 남은 노래를 들었기에 이미 의식의 편이 되었다.,EvRitualNote,false,eff_question_erosion,불안한 기척을 곧장 공모의 증거로 바꿨다. 사람의 말이 의식의 소음 속으로 가라앉는다.,Resume,
