ChoiceGroupID	Type	ConditionGroupID	MaxSelectable
ChoiceGroup_ArticleBonus	Normal		1
ChoiceGroup_ArticleQ1	Evidence		1
ChoiceGroup_ArticleQ2	Evidence		1
ChoiceGroup_ArticleQ3	Evidence		1
ChoiceGroup_Backroom	Normal		1
ChoiceGroup_BackroomInvestigation	Investigation		2
ChoiceGroup_CafeInvestigation	Investigation		2
ChoiceGroup_CafeManagerEvidence	Evidence		1
ChoiceGroup_CafeWaitressEvidence	Evidence		1
ChoiceGroup_Descent	Normal		1
ChoiceGroup_EditorOrder	Normal		1
ChoiceGroup_EditorRoomBonus	Normal		1
ChoiceGroup_Editor_Confront	Evidence		1
ChoiceGroup_GuardedDoor	Normal		1
ChoiceGroup_GuardedDoorInvestigation	Investigation		2
ChoiceGroup_HallwayBonus	Normal		1
ChoiceGroup_LibraryEvidence	Evidence		1
ChoiceGroup_NewsroomInvestigation	Investigation		2
ChoiceGroup_Okryeon_Confront	Evidence		1
ChoiceGroup_ParticipantLedger	Normal		1
ChoiceGroup_RitualEvidence	Evidence		1
ChoiceGroup_RitualFinal	Normal		1
ChoiceGroup_Room4Conclusion	Evidence		1
ChoiceGroup_Room4Investigation	Investigation		2
ChoiceGroup_SlumInvestigation	Investigation		2
ChoiceGroup_Songsoon_Trust	Evidence		1
ChoiceGroup_Threshold	Normal		1
